Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1950,2849.0,435494.0,269130.0,309.0,69361.0,415.0,3856.0,1224052.0,76003.0,1006.0,2389.0,620470.0,497356.0,154845.0,129260.0,624280.0,128744.0,375.0,255034.0,2299208.0,534791.0,6529.0,5565.0,140220.0,135.0,415236.0,4312.0,2601.0,167538.0,2973673.0,14277.0,2911.0,9145.0,18314.0,85969.0,967910.0,350198.0,381227.0,33942292.0,145136.0,252704.0,641226.0,48170.0,743.0,631160.0,10233.0,9568.0,49799.0,390460.0,6207.0,448.0,30795.0,704763.0,5182193.0,3140.0,2595.0,316511.0,114046.0,477576.0,194426.0,1266004.0,40555.0,742.0,1916377.0,75784.0,947640.0,291563.0,14679.0,120.0,2900449.0,2145.0,1759.0,31920.0,3852694.0,234173.0,3391.0,245271.0,1740.0,177391.0,12696.0,15830.0,36925.0,13726.0,516936.0,3256.0,1327.0,157887.0,1546.0,4235.0,24191.0,157060.0,83408.0,257328.0,197291.0,727198.0,4143221.0,3926.0,21457608.0,201097.0,867112.0,379182.0,9131.0,106334.0,3460918.0,99791.0,4512.0,19462.0,5208864.0,442188.0,260724.0,106063.0,241257.0,2100.0,3431.0,1134795.0,9435.0,103607.0,83533.0,50906.0,60022.0,5320.0,1021.0,424026.0,28581.0,140144.0,24103.0,133175.0,16781.0,197.0,394874.0,1492.0,165380.0,226636.0,3946.0,1468622.0,730.0,71676.0,302203.0,16231.0,1098834.0,21000.0,48680.0,368.0,400220.0,36556.0,667.0,14351.0,29145.0,145337.0,342313.0,1086.0,29641.0,4487.0,129264.0,2024000.0,67489.0,211.0,683059.0,250386.0,494785.0,177.0,136451.0,25261.0,41403.0,158664976.0,2054376.0,46800.0,417652.0,960355.0,380.0,92187.0,1767825.0,123971.0,514457.0,576266.0,74985.0,40791.0,3944.0,1265.0,14755.0,1126168.0,7671885.0,100699.0,91439.0,291960.0,139310.0,71203.0,268.0,5311.0,119356.0,111021.0,832.0,130379.0,301.0,382800.0,133040.0,4001.0,9795.0,243764.0,100513.0,548027.0,14897.0,76.0,2294.0,168661.0,329.0,149045.0,76741.0,1089837.0,85700.0,67.0,79962.0,21458.0,2313.0,41812.0,212283.0,1142235.0,257.0,462828.0,391261.0,347683.0,3071343.0,158147.0,11388906.0,314652.0,45.0,3234.0,291376.0,373.0,1480.0,1701322.0,2477.0,397.0,4238.0,247726.0,795629.0,122395.0,144965.0
1951,2855.0,441470.0,272704.0,313.0,70232.0,386.0,3991.0,1243096.0,71932.0,1019.0,2464.0,639006.0,458065.0,151775.0,130811.0,592559.0,128679.0,360.0,258751.0,2355086.0,512473.0,6780.0,5665.0,132211.0,135.0,397856.0,4278.0,2593.0,168578.0,3039123.0,14479.0,3066.0,9432.0,18981.0,86362.0,1000046.0,342548.0,387144.0,34519711.0,149892.0,256791.0,657470.0,48975.0,754.0,642679.0,10469.0,9542.0,50584.0,394064.0,6387.0,442.0,30984.0,642388.0,4769619.0,3262.0,2710.0,311946.0,117032.0,485617.0,196954.0,1291373.0,41620.0,855.0,1863422.0,73132.0,967642.0,282882.0,15279.0,140.0,2653415.0,2182.0,1796.0,31980.0,3767347.0,222140.0,3387.0,259170.0,1715.0,180941.0,12786.0,16273.0,37428.0,13951.0,513833.0,3273.0,1367.0,161070.0,1554.0,4390.0,24537.0,164694.0,83555.0,234811.0,198820.0,668203.0,4188490.0,3836.0,21809626.0,199187.0,879427.0,381706.0,9210.0,104443.0,3387744.0,102231.0,4460.0,20694.0,5219936.0,433177.0,270647.0,102350.0,246572.0,2125.0,3357.0,1119626.0,10071.0,105882.0,81285.0,52117.0,60509.0,5235.0,1006.0,436776.0,28363.0,133961.0,23476.0,126501.0,16649.0,201.0,402533.0,1464.0,161466.0,222937.0,4069.0,1471262.0,729.0,68890.0,307290.0,16190.0,1124718.0,19789.0,48907.0,388.0,404963.0,37425.0,681.0,14211.0,29716.0,153590.0,348108.0,1109.0,29913.0,4520.0,133572.0,2073222.0,68999.0,225.0,687059.0,250694.0,506610.0,192.0,137794.0,25481.0,40106.0,158500885.0,2106353.0,47824.0,423567.0,994978.0,405.0,96310.0,1681354.0,125040.0,482028.0,562401.0,76505.0,40713.0,4014.0,1291.0,15096.0,1066425.0,7327833.0,101326.0,94927.0,299303.0,142830.0,73583.0,277.0,5458.0,120980.0,113317.0,843.0,132829.0,293.0,347288.0,135500.0,4246.0,9797.0,226036.0,92496.0,542906.0,15161.0,79.0,2271.0,167913.0,313.0,151178.0,78004.0,1107054.0,86428.0,74.0,76885.0,22131.0,2390.0,42531.0,215248.0,1165897.0,272.0,478163.0,401490.0,357451.0,2926204.0,158219.0,11441521.0,305237.0,45.0,3270.0,304312.0,386.0,1505.0,1707986.0,2565.0,412.0,4330.0,252705.0,811441.0,125776.0,150932.0
1952,2858.0,447453.0,276004.0,311.0,71221.0,337.0,4164.0,1258435.0,65784.0,996.0,2585.0,647612.0,409179.0,149000.0,132241.0,546106.0,128754.0,350.0,262040.0,2410115.0,460303.0,7031.0,5739.0,121222.0,136.0,375038.0,4209.0,2555.0,168901.0,3102018.0,14607.0,3216.0,9740.0,19802.0,86670.0,1028114.0,335250.0,392282.0,35088179.0,154726.0,261009.0,674066.0,49806.0,767.0,650109.0,10668.0,9507.0,51190.0,396461.0,6624.0,436.0,31217.0,566195.0,4232473.0,3386.0,2805.0,307333.0,120175.0,499241.0,198195.0,1318618.0,42704.0,967.0,1843542.0,68640.0,987800.0,274410.0,15843.0,156.0,2379218.0,2209.0,1833.0,32041.0,3623503.0,206154.0,3310.0,273661.0,1716.0,184234.0,12961.0,16680.0,37705.0,14192.0,509869.0,3290.0,1400.0,164503.0,1561.0,4505.0,24793.0,171418.0,82783.0,209867.0,200071.0,593766.0,4224342.0,3634.0,22221544.0,194219.0,894473.0,385099.0,9228.0,101276.0,3177301.0,102801.0,4321.0,22125.0,5198204.0,412438.0,280304.0,95928.0,251911.0,2146.0,3247.0,1123797.0,10644.0,108027.0,76884.0,53267.0,61240.0,5026.0,974.0,448862.0,28207.0,129023.0,22565.0,116623.0,16011.0,201.0,414846.0,1346.0,157370.0,221119.0,4198.0,1476160.0,718.0,65961.0,312162.0,16206.0,1156622.0,18848.0,50338.0,404.0,409487.0,38302.0,689.0,14009.0,30285.0,162503.0,357802.0,1126.0,30180.0,4534.0,137705.0,2126616.0,70484.0,226.0,685683.0,251872.0,518000.0,206.0,138691.0,25691.0,38877.0,157573134.0,2157152.0,48860.0,428513.0,1030469.0,428.0,100558.0,1556159.0,125313.0,467643.0,548360.0,77095.0,40834.0,3995.0,1322.0,15363.0,998989.0,6807398.0,101651.0,98695.0,306785.0,146477.0,75757.0,281.0,5618.0,122590.0,115664.0,855.0,135196.0,288.0,309627.0,137921.0,4460.0,9908.0,202702.0,82241.0,537157.0,15432.0,81.0,2257.0,170485.0,293.0,153458.0,79121.0,1124727.0,85310.0,82.0,72029.0,22935.0,2476.0,43146.0,217352.0,1193916.0,293.0,488228.0,412025.0,366879.0,2672039.0,156530.0,11496313.0,291104.0,44.0,3299.0,317283.0,393.0,1547.0,1699390.0,2647.0,429.0,4412.0,257892.0,826827.0,129154.0,158440.0
1953,2837.0,453280.0,279704.0,295.0,72222.0,300.0,4385.0,1272055.0,59035.0,973.0,2714.0,646626.0,360007.0,146999.0,133506.0,492827.0,128932.0,339.0,264849.0,2462802.0,421925.0,7292.0,5788.0,109888.0,138.0,355516.0,4139.0,2510.0,169034.0,3166967.0,14640.0,3390.0,10059.0,20773.0,87005.0,1052922.0,327748.0,397348.0,35298495.0,159710.0,265390.0,690293.0,50663.0,779.0,655236.0,10842.0,9467.0,51811.0,398223.0,6876.0,435.0,31622.0,487166.0,3681472.0,3514.0,2875.0,304084.0,123494.0,515463.0,198800.0,1348118.0,43827.0,1095.0,1835719.0,63542.0,1007844.0,268977.0,16359.0,160.0,2124982.0,2224.0,1875.0,32108.0,3453408.0,190953.0,3187.0,287879.0,1723.0,187349.0,13149.0,17122.0,37884.0,14449.0,505581.0,3312.0,1427.0,168175.0,1574.0,4577.0,24950.0,177799.0,81839.0,190939.0,201103.0,517049.0,4259198.0,3356.0,22656980.0,188364.0,914976.0,388539.0,9368.0,98641.0,2880809.0,102055.0,4132.0,23733.0,5142810.0,386757.0,289297.0,88495.0,257073.0,2167.0,3117.0,1145076.0,11194.0,110074.0,71748.0,54412.0,62353.0,4801.0,940.0,460711.0,28115.0,125952.0,21534.0,105692.0,15293.0,199.0,431464.0,1234.0,155436.0,221268.0,4327.0,1487743.0,708.0,63992.0,316482.0,16372.0,1190625.0,18096.0,52408.0,419.0,413503.0,39192.0,691.0,13838.0,30819.0,171183.0,369518.0,1147.0,30411.0,4533.0,141666.0,2181474.0,72057.0,221.0,676824.0,253444.0,528415.0,221.0,139272.0,25899.0,38077.0,156312726.0,2208185.0,49909.0,433278.0,1066957.0,450.0,105058.0,1421925.0,125183.0,469133.0,532601.0,77113.0,41168.0,3907.0,1365.0,15628.0,941113.0,6383751.0,102279.0,102751.0,314321.0,150262.0,77631.0,283.0,5789.0,124151.0,118061.0,878.0,137466.0,281.0,280965.0,140382.0,4637.0,10041.0,179308.0,71794.0,530480.0,15702.0,81.0,2247.0,176204.0,283.0,155874.0,80139.0,1143011.0,83377.0,87.0,66506.0,23769.0,2573.0,43695.0,218978.0,1226019.0,313.0,493701.0,422872.0,375994.0,2375285.0,154017.0,11582952.0,276541.0,44.0,3329.0,330319.0,399.0,1585.0,1685186.0,2727.0,442.0,4475.0,263297.0,841188.0,132571.0,166295.0
1954,2786.0,459223.0,283847.0,279.0,73232.0,306.0,4646.0,1288249.0,54398.0,961.0,2804.0,642487.0,328561.0,146356.0,134671.0,456456.0,129151.0,340.0,267394.0,2516168.0,406162.0,7617.0,5797.0,103654.0,139.0,341860.0,4115.0,2491.0,169875.0,3237822.0,14540.0,3591.0,10395.0,21849.0,87576.0,1076249.0,322099.0,403721.0,35242622.0,165579.0,270095.0,706406.0,51546.0,794.0,662107.0,10976.0,9426.0,52662.0,400354.0,7095.0,436.0,32223.0,433490.0,3318954.0,3641.0,2913.0,301703.0,126982.0,528048.0,199941.0,1379274.0,45014.0,1238.0,1820608.0,60006.0,1028460.0,261197.0,16820.0,152.0,1926749.0,2232.0,1918.0,32184.0,3355549.0,181226.0,3079.0,302281.0,1718.0,190445.0,13342.0,17735.0,38058.0,14686.0,501918.0,3343.0,1453.0,172232.0,1593.0,4608.0,25058.0,184142.0,81860.0,184429.0,202017.0,472987.0,4301522.0,3145.0,23090013.0,184278.0,946785.0,390567.0,9520.0,97938.0,2626278.0,100672.0,3968.0,25495.0,5170374.0,368342.0,298650.0,83078.0,262158.0,2188.0,2995.0,1177551.0,11772.0,112090.0,68348.0,55688.0,64050.0,4657.0,921.0,473212.0,28089.0,125538.0,20671.0,98054.0,14623.0,197.0,452700.0,1144.0,157583.0,223287.0,4462.0,1507705.0,695.0,63263.0,319830.0,16692.0,1220650.0,17617.0,54102.0,428.0,417009.0,40097.0,680.0,13768.0,31379.0,178306.0,379928.0,1171.0,30582.0,4518.0,145453.0,2235205.0,73902.0,217.0,667255.0,253276.0,537755.0,232.0,139822.0,26133.0,37813.0,155801208.0,2260763.0,50953.0,439650.0,1104566.0,467.0,109612.0,1339117.0,125203.0,479665.0,514413.0,77212.0,41680.0,3790.0,1402.0,16024.0,907554.0,6062188.0,104424.0,107076.0,327418.0,154215.0,79150.0,274.0,5973.0,125693.0,120567.0,907.0,139716.0,278.0,271355.0,143040.0,4732.0,10217.0,167671.0,64971.0,523564.0,15952.0,82.0,2251.0,184083.0,278.0,158355.0,81158.0,1163469.0,81829.0,91.0,62299.0,24482.0,2671.0,44242.0,220741.0,1262025.0,340.0,496655.0,433994.0,384838.0,2151490.0,152634.0,11703894.0,268947.0,47.0,3363.0,343432.0,406.0,1623.0,1681814.0,2800.0,458.0,4536.0,268928.0,854754.0,136090.0,172599.0
1955,2736.0,465684.0,288520.0,275.0,74396.0,354.0,4956.0,1308527.0,53362.0,959.0,2841.0,647674.0,332118.0,147769.0,135797.0,463130.0,129366.0,341.0,269810.0,2572679.0,403931.0,8013.0,5787.0,105583.0,139.0,340768.0,4143.0,2500.0,171841.0,3319966.0,14307.0,3813.0,10753.0,22972.0,88437.0,1097019.0,324349.0,412324.0,35438216.0,172402.0,275120.0,723090.0,52454.0,809.0,672488.0,11068.0,9458.0,53878.0,403321.0,7261.0,437.0,32854.0,435763.0,3345885.0,3777.0,2919.0,304011.0,130626.0,535433.0,202152.0,1411047.0,46268.0,1391.0,1842927.0,58973.0,1050186.0,258473.0,17230.0,147.0,1994755.0,2240.0,1962.0,32257.0,3401819.0,178423.0,3029.0,316981.0,1714.0,193587.0,13598.0,18546.0,38247.0,14897.0,500233.0,3392.0,1483.0,177055.0,1642.0,4626.0,25232.0,191792.0,83235.0,192308.0,202864.0,490696.0,4359166.0,3077.0,23519616.0,181688.0,990026.0,391184.0,9727.0,99417.0,2571196.0,98999.0,3894.0,27384.0,5270375.0,363415.0,308805.0,81332.0,267377.0,2216.0,2886.0,1218082.0,13129.0,114113.0,67700.0,57150.0,66229.0,4605.0,936.0,486604.0,28125.0,128592.0,20119.0,95467.0,14076.0,199.0,478276.0,1095.0,163966.0,226884.0,4594.0,1536725.0,694.0,64275.0,322185.0,17110.0,1245287.0,17683.0,55072.0,424.0,420002.0,41023.0,661.0,13967.0,32103.0,183601.0,387939.0,1197.0,30708.0,4504.0,149075.0,2287339.0,76035.0,219.0,675324.0,256602.0,546173.0,249.0,141024.0,26407.0,38165.0,157475290.0,2316070.0,51993.0,448305.0,1142130.0,480.0,114180.0,1327255.0,125723.0,495718.0,511576.0,77971.0,42311.0,3696.0,1441.0,16552.0,911179.0,5751077.0,108552.0,111686.0,346343.0,158348.0,80436.0,260.0,6166.0,127259.0,123199.0,935.0,141996.0,277.0,285115.0,145964.0,4743.0,10469.0,175394.0,65229.0,530302.0,16170.0,89.0,2259.0,192339.0,283.0,160851.0,82213.0,1187779.0,81798.0,85.0,60301.0,25046.0,2777.0,44821.0,222932.0,1301423.0,366.0,503490.0,445394.0,393491.0,2052228.0,153192.0,11850711.0,272300.0,50.0,3400.0,356650.0,402.0,1657.0,1694545.0,2878.0,479.0,4600.0,274789.0,868056.0,139727.0,176780.0
1956,2715.0,472567.0,293740.0,267.0,75803.0,412.0,5313.0,1332531.0,55482.0,955.0,2824.0,665970.0,365720.0,151872.0,136867.0,505505.0,129598.0,332.0,272026.0,2631548.0,441200.0,8477.0,5777.0,115070.0,135.0,354120.0,4211.0,2538.0,174798.0,3419800.0,13933.0,4066.0,11132.0,24198.0,89572.0,1122198.0,334497.0,422652.0,35864989.0,179546.0,280284.0,740147.0,53395.0,818.0,685835.0,11123.0,9567.0,55527.0,407012.0,7362.0,445.0,33245.0,487874.0,3695256.0,3916.0,2898.0,310372.0,134390.0,538912.0,205320.0,1443228.0,47593.0,1562.0,1912207.0,60308.0,1072902.0,265305.0,17605.0,149.0,2331576.0,2254.0,2007.0,32340.0,3528417.0,182044.0,3038.0,331718.0,1728.0,196748.0,13965.0,19551.0,38492.0,15087.0,502065.0,3451.0,1495.0,183095.0,1722.0,4670.0,25593.0,200045.0,86036.0,212506.0,203694.0,550579.0,4437984.0,3092.0,23941309.0,180142.0,1045546.0,390563.0,10046.0,103039.0,2718579.0,97120.0,3937.0,29411.0,5366026.0,370319.0,319484.0,82785.0,272674.0,2252.0,2810.0,1266532.0,15317.0,116113.0,69636.0,58783.0,68837.0,4602.0,992.0,500850.0,28243.0,135275.0,19870.0,97812.0,13644.0,201.0,507949.0,1125.0,173225.0,232338.0,4729.0,1577446.0,697.0,67438.0,323538.0,17584.0,1264325.0,18299.0,55341.0,406.0,422415.0,41968.0,632.0,14378.0,33025.0,186880.0,393684.0,1221.0,30779.0,4510.0,152581.0,2337870.0,78469.0,224.0,696989.0,262676.0,553818.0,272.0,143443.0,26719.0,39200.0,161395886.0,2374519.0,53010.0,459290.0,1179826.0,477.0,118713.0,1384831.0,126912.0,513463.0,524500.0,79634.0,43080.0,3672.0,1486.0,17206.0,956325.0,5722032.0,114548.0,116574.0,365940.0,162648.0,81652.0,248.0,6358.0,128849.0,126028.0,963.0,144306.0,278.0,320381.0,149063.0,4693.0,10804.0,201135.0,72223.0,546179.0,16358.0,100.0,2280.0,200619.0,288.0,163392.0,83288.0,1215316.0,83923.0,84.0,60272.0,25432.0,2891.0,45411.0,224644.0,1342127.0,393.0,520886.0,457092.0,402072.0,2066819.0,155498.0,12045320.0,285578.0,54.0,3443.0,370013.0,393.0,1694.0,1722248.0,2949.0,499.0,4674.0,280874.0,881029.0,143484.0,178688.0
1957,2714.0,479721.0,299457.0,262.0,77424.0,488.0,5717.0,1360758.0,60423.0,965.0,2750.0,690480.0,410599.0,159137.0,137871.0,559823.0,129857.0,323.0,274047.0,2693213.0,509361.0,9027.0,5799.0,129979.0,130.0,387312.0,4303.0,2617.0,178621.0,3540948.0,13442.0,4335.0,11527.0,25569.0,90993.0,1156201.0,344544.0,434129.0,36298797.0,187050.0,285354.0,757429.0,54361.0,817.0,702460.0,11173.0,9694.0,57577.0,411430.0,7419.0,459.0,33240.0,563120.0,4132221.0,4061.0,2857.0,312844.0,138260.0,538266.0,209519.0,1476475.0,48944.0,1748.0,1988387.0,64203.0,1095433.0,271154.0,17961.0,152.0,2679362.0,2276.0,2058.0,32423.0,3669420.0,191854.0,3093.0,346414.0,1741.0,199924.0,14404.0,20776.0,38814.0,15248.0,509091.0,3516.0,1498.0,190629.0,1806.0,4774.0,26193.0,208458.0,90342.0,238341.0,204535.0,624259.0,4540901.0,3139.0,24324612.0,179670.0,1115119.0,388315.0,10323.0,108447.0,2983151.0,95086.0,4072.0,31599.0,5536136.0,387321.0,330305.0,87198.0,278021.0,2297.0,2761.0,1324570.0,17394.0,118086.0,74410.0,60599.0,71967.0,4601.0,1074.0,516075.0,28841.0,144765.0,19936.0,105589.0,13287.0,199.0,541497.0,1223.0,183667.0,239912.0,4871.0,1630947.0,700.0,71843.0,323793.0,18094.0,1276542.0,19326.0,54930.0,385.0,424413.0,42938.0,597.0,14790.0,34091.0,187982.0,396865.0,1240.0,30782.0,4577.0,156033.0,2386490.0,81232.0,232.0,714743.0,264659.0,561060.0,297.0,146793.0,27065.0,40776.0,166486005.0,2435669.0,54015.0,473000.0,1218465.0,472.0,123098.0,1553590.0,128402.0,531677.0,538041.0,82176.0,43990.0,3754.0,1539.0,18058.0,1031459.0,5973355.0,122417.0,121734.0,386257.0,167094.0,82795.0,242.0,6558.0,130446.0,129153.0,998.0,146623.0,284.0,369101.0,152218.0,4585.0,11190.0,237134.0,82753.0,553508.0,16508.0,115.0,2303.0,209542.0,291.0,165967.0,84369.0,1245266.0,88152.0,88.0,62130.0,25621.0,3005.0,46022.0,225438.0,1384129.0,423.0,547951.0,469073.0,410683.0,2197858.0,159700.0,12253865.0,307463.0,60.0,3493.0,383570.0,378.0,1735.0,1765629.0,3028.0,522.0,4777.0,287195.0,893634.0,147377.0,178086.0
1958,2749.0,486938.0,305772.0,250.0,79320.0,571.0,6171.0,1391792.0,68396.0,985.0,2650.0,716358.0,455873.0,169855.0,138709.0,618897.0,130164.0,321.0,275690.0,2753687.0,577460.0,9618.0,5877.0,146443.0,132.0,430908.0,4407.0,2702.0,183285.0,3681873.0,12929.0,4627.0,11946.0,26898.0,92622.0,1190517.0,353846.0,447448.0,36916994.0,194974.0,290322.0,774176.0,55360.0,814.0,721274.0,11233.0,9822.0,59995.0,416631.0,7462.0,469.0,32877.0,642900.0,4534578.0,4208.0,2802.0,313203.0,142220.0,535969.0,214616.0,1509002.0,50307.0,1948.0,2065888.0,71186.0,1116969.0,276685.0,18310.0,155.0,2984275.0,2292.0,2102.0,32517.0,3800989.0,207488.0,3196.0,360420.0,1736.0,203111.0,14882.0,22123.0,39156.0,15395.0,522279.0,3583.0,1516.0,199436.0,1889.0,4955.0,27062.0,216958.0,95390.0,262211.0,205373.0,702792.0,4668432.0,3181.0,24709699.0,179382.0,1189267.0,385241.0,10567.0,114608.0,3319082.0,92827.0,4238.0,33903.0,5796685.0,415733.0,340245.0,94468.0,283226.0,2351.0,2725.0,1385143.0,19346.0,120053.0,81157.0,62455.0,75380.0,4583.0,1148.0,531881.0,29906.0,155706.0,20267.0,117378.0,12823.0,205.0,577384.0,1326.0,193605.0,248714.0,5019.0,1693731.0,708.0,76589.0,323106.0,18549.0,1285335.0,20657.0,54381.0,376.0,426258.0,43935.0,560.0,15184.0,35287.0,188052.0,398278.0,1269.0,30768.0,4691.0,159455.0,2432248.0,84181.0,236.0,737876.0,265056.0,567997.0,323.0,150196.0,27429.0,42653.0,172204270.0,2498872.0,55017.0,488599.0,1258121.0,470.0,127251.0,1768907.0,129285.0,549631.0,556582.0,85415.0,44946.0,3919.0,1610.0,18996.0,1119250.0,6311756.0,131607.0,127171.0,406903.0,171722.0,83764.0,237.0,6751.0,132018.0,132264.0,1041.0,148914.0,294.0,419680.0,155002.0,4472.0,11613.0,274606.0,94028.0,556528.0,16638.0,122.0,2335.0,219361.0,293.0,168533.0,85472.0,1278245.0,94539.0,91.0,65715.0,25739.0,3119.0,46638.0,226071.0,1428978.0,458.0,577642.0,481396.0,419433.0,2437357.0,165280.0,12401198.0,337289.0,65.0,3545.0,397356.0,362.0,1774.0,1816282.0,3104.0,538.0,4913.0,293767.0,905313.0,151368.0,176334.0
1959,2790.0,494948.0,312879.0,238.0,81668.0,651.0,6689.0,1422428.0,79492.0,1009.0,2564.0,740190.0,486589.0,183886.0,139455.0,663812.0,130553.0,312.0,277087.0,2815559.0,625316.0,10161.0,6037.0,161259.0,138.0,475187.0,4511.0,2761.0,188708.0,3836562.0,12529.0,4926.0,12386.0,27917.0,94323.0,1220591.0,362048.0,463770.0,37776385.0,202847.0,295270.0,792174.0,56390.0,811.0,741386.0,11269.0,9957.0,62672.0,422495.0,7506.0,476.0,32339.0,698324.0,4764640.0,4355.0,2736.0,314382.0,146262.0,536489.0,220201.0,1542190.0,51771.0,2156.0,2141831.0,78410.0,1140568.0,286951.0,18669.0,158.0,3242110.0,2296.0,2150.0,32616.0,3840580.0,228255.0,3261.0,374206.0,1716.0,206281.0,15338.0,23393.0,39450.0,15549.0,541344.0,3644.0,1556.0,209084.0,1975.0,5192.0,28121.0,226069.0,99947.0,280400.0,206158.0,748092.0,4821685.0,3161.0,25140932.0,176760.0,1254226.0,383327.0,10828.0,120607.0,3615479.0,90269.0,4368.0,36196.0,6063019.0,459662.0,350104.0,104304.0,288532.0,2422.0,2697.0,1436531.0,21445.0,122001.0,88107.0,64232.0,78661.0,4514.0,1194.0,547392.0,31089.0,170648.0,20986.0,132748.0,12280.0,211.0,613981.0,1414.0,202329.0,257232.0,5164.0,1760432.0,720.0,81170.0,322419.0,18872.0,1298186.0,22209.0,54283.0,383.0,428495.0,44975.0,522.0,15582.0,36593.0,188841.0,400600.0,1287.0,30834.0,4823.0,162875.0,2478452.0,87049.0,237.0,761682.0,265555.0,575495.0,353.0,153006.0,27794.0,44851.0,177882454.0,2563479.0,56053.0,504407.0,1299156.0,467.0,131128.0,1919258.0,128766.0,567303.0,581302.0,89074.0,45825.0,4128.0,1714.0,19822.0,1207868.0,6773184.0,141180.0,132891.0,422978.0,176567.0,84806.0,232.0,6942.0,133621.0,135066.0,1093.0,151272.0,301.0,464220.0,157459.0,4396.0,12087.0,298305.0,102641.0,557911.0,16750.0,124.0,2368.0,229686.0,297.0,171009.0,86599.0,1317984.0,102810.0,90.0,70681.0,25962.0,3239.0,47173.0,226769.0,1476863.0,484.0,609573.0,494161.0,428412.0,2715106.0,170933.0,12496096.0,374098.0,67.0,3604.0,411390.0,351.0,1808.0,1860765.0,3190.0,550.0,5057.0,300588.0,917227.0,155371.0,175725.0
